,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Morocco,1241.09,1532.67,953.6,780,683.52,500.56,649.59,471.56,531.21,681.94,447.38,493.85,364.39,584.39,780.6,732.64,1101.53,1219.23,1453.36,1045.96,985.5,1440.24,1471.14,2008.65,2240.15,1481.43,1992.34
Mozambique,997.51,1065.1,1459.68,1176.96,1199.94,1063.39,886.73,948.21,1039.95,818.67,907.39,961.47,2217.37,1049.52,1244.29,1289.86,1641.94,1784.99,1993.09,2013.6,1943.13,2065.47,2071.7,2312.7,2106.01,1814.74,1531.4
Myanmar,160.77,177.01,113.98,100.15,167.07,150.16,38.92,49.38,72.14,81.05,105.64,125.67,119.03,125.02,123.45,144.83,145.71,195.89,534.59,355.96,354.92,379.95,504.53,3936.12,1384.46,1168.5,1533.99
Namibia,119.62,180.45,142.34,152.55,137.1,190.37,185.92,165.16,180.83,178.63,152.41,109.51,135.02,148.38,175.33,113.38,149.33,220.85,205.49,331.13,261.33,278.21,252.44,261.04,226.22,142.38,170
Nauru,0.16,0.38,0.41,0.42,11.12,2.53,3.25,2.62,2.12,6.55,4,7.26,11.72,16.14,13.75,9.24,17.52,25.61,31.24,23.51,27.78,37.53,35.62,28.75,22.52,31.25,23.43
Nepal,422.84,448.76,430.87,363.41,446.62,429.56,389.23,401.87,400.86,348.5,386.42,388.99,342.91,464.48,425.94,423.13,527.67,616.82,697.02,853.75,814.41,886.63,769.68,873.33,883.82,1224.78,1065.92
Netherlands Antilles,57.99,82.1,92.45,79.9,37.74,98.39,120.68,110.61,129.08,126.98,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
New Caledonia,302.41,310.68,357.98,394.73,408.43,451.21,396.14,338.82,338.39,314.51,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Nicaragua,329.56,834.99,653.37,314.77,594.26,649.13,930.86,412.88,603.84,673.87,561.97,931.91,517.39,836.63,1241.44,764.52,739.93,837.34,738.51,774.5,660.39,691.5,532.32,495.8,432.17,457.92,430.51
Niger,387.59,369.56,356.71,338.52,372.95,272.39,252.06,333.23,292.34,187.27,209.21,258.98,295.81,481.02,548.68,523.09,541.94,575.45,615.45,470.63,741.38,644.67,891.14,797.3,917.78,867.99,951.2
Nigeria,255.08,258.32,258.82,288.42,189.66,210.96,188.75,199.84,203.34,151.99,173.8,167.82,299.55,309.85,578.77,6401.79,11431.96,1958.6,1293.72,1639.23,2052.36,1809.86,1916.17,2515.72,2478.6,2431.54,2500.71
Niue,7.16,9.41,4.71,4.61,6.95,8.24,6.72,5.32,4.22,4.27,3.34,3.36,4.54,9.11,14.31,21.24,9.03,14.77,18.04,7.31,15.19,20.85,20.12,18.29,13.63,19.54,20.69
Northern Mariana Islands,63.11,29.14,7.39,88.95,2.3,-0.7,-1.57,0.69,0.2,0.12,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Oman,68.2,13.09,39.63,129.68,155.47,75.09,82.93,100.4,555.74,53.15,79.67,8.31,76.97,64.31,100.34,19.04,54.07,213.98,74.65,144.49,-21.61,..,..,..,..,..,..
